date,key,asin,item_id,title,price,currency,available
2026-08-18,B095QX1FSR,B095QX1FSR,I1BNX13CZDTLV3,"Garmin Approach R10, Portable Golf Launch Monitor, Take Your Game Home, Indoors or to The Driving Range, Up to 10 Hours Battery Life - 010-02356-00 | Tracks 12+ metrics, shot dispersion, video clips, virtual rounds, 10-hour battery",479.00,USD,true
2026-08-18,B0BCHFHX6V,B0BCHFHX6V,IUQMUY60RAWMZ,Kinesis Advantage360 Split Ergonomic Keyboard - USB-C | Mechanical Switches | Fully Programmable | Contoured Shape | Adjustable Tenting | PBT Keycaps,479.00,USD,true
2026-08-18,B0BCHFSRN2,B0BCHFSRN2,IZBMRKWY7R120,Advantage360 Palm Pads - Magnetic | Cushioned Foam | Washable,25.99,USD,true
2026-08-18,B0BCHHCZ2J,B0BCHHCZ2J,I2XGMXYMDOHHFW,Advantage360 Blank Keycap Set - PBT Plastic | 76 Key Set | Logo Keycap Puller,50.00,USD,true
2026-08-18,B0BF7DXLBF,B0BF7DXLBF,IU77YZXOZZXDF,"Fellow Stagg EKG Pro Gooseneck Electric Kettle, Brew Timer, 0.9 Liter | To-the-Degree Temp Control, Color LCD, Temp Hold, Stainless Steel, for Pour-Over Coffee & Tea, Matte Black",179.95,USD,true
2026-08-18,B0CF9THQDK,B0CF9THQDK,I36P0F0DU9IBU1,"Blue Tees Golf Player+ AI-Powered GPS Speaker - Touchscreen Display, 10+ Hour Battery, 40,000+ Courses, Visual & Audible Distances, Hazard Detection, IPX7 Waterproof (Black)",,,false
2026-08-18,B0CNSMHQ3J,B0CNSMHQ3J,I17R9K20M03SXX,LACZ DENTON Pagani Design DD40 PD1783 Men's Watches Luxury Automatic Watch Men AR Sapphire Glass Mechanical Wristwatch Men 10Bar Japan Movement,144.99,USD,true
2026-08-18,B0CP5RMFN7,B0CP5RMFN7,IRPDG2XCLM0NE,"RollsTimi Pagani Design DD40 PD1783 Watches for Men, Japanese Automatic Movement, Day/Date Calendar, Stainless Steel Bracelet, Sapphire Crystal, Luxury Men's Automatic Watch.",144.99,USD,true
2026-08-18,B0CXDTP94L,B0CXDTP94L,I1H5MQZOP9CES3,"68oz 304 Stainless Steel Deep Fryer Pot with Basket & Strainer, Large Capacity Bacon Grease Container for Kitchen,Frying, Cooking, Camping,Oil Filter Container - Dishwasher Safe (68oz/2L/2.1Qt)",23.99,USD,true
2026-08-18,B0D1KB96ZP,B0D1KB96ZP,I39XRT1FQJCAGO,Pagani Design GMT Automatic Mechanical Men's Watch Rotating Ceramic Bezel Stainless Steel Watch with Date Function Men's Sport Watch,150.00,USD,true
2026-08-18,B0D22JRHZB,B0D22JRHZB,ITKJWU73M7L42,"UGREEN DXP4800 Plus 4-Bay NAS for Families, Creators & Small Teams | 4K Home Media, File Server & Hardware Transcoding, Intel 8505, 8GB DDR5, 10GbE&2.5GbE, Built-in 128G SSD, 2xM.2 NVMe,Diskless",619.98,USD,true
2026-08-18,B0DPR9LBJC,B0DPR9LBJC,I3MW6G9YTMMTX8,Votivo White Tea & Bergamot 10 oz Signature Candle | Soy Wax Blend | Luxury Glass Jar & Box | Home Decor |Gifts | Highly Scented,44.00,USD,true
2026-08-18,B0DVZBR9TJ,B0DVZBR9TJ,I1Q4XIXONYIP0F,"BuzzTV P6 PowerStation Media Hub with 8GB DDR4 RAM, Expandable NVMe Storage, Android 13, Dual Quad-Core Processors, Wireless AX and BT-500 Smart Remote",259.18,,true
2026-08-18,B0DWT9J5L3,B0DWT9J5L3,IU0Z3O3TRLWKG,"Toy Battle Board Game | Tactical Tile Placement and Troop Strategy Game with 8 Unique Terrains, Fun for Kids & Adults, Ages 8+, 2 Players, 15 Mins",26.95,USD,true
2026-08-18,B0FDZHJCS2,B0FDZHJCS2,IG0ZA3XP2DQ6T,"Thunderworks Games: FlipToons | an Animated Deck-Building Card Game! | Easy to Learn Board Game with Classic Cartoon Style | Portable Small Box Family Game for 1-4 Players, Ages 10+, 15-30 Minutes",19.95,USD,true
2026-08-18,B0FQFB8FMG,B0FQFB8FMG,I22142G5IOO2ZR,"Apple AirPods Pro 3 Wireless Earbuds, Active Noise Cancellation, Live Translation, Heart Rate Sensing, Hearing Aid Feature, Bluetooth Headphones, Spatial Audio, High-Fidelity Sound, USB-C Charging",189.99,USD,true
2026-08-18,B0FQMJGS4T,B0FQMJGS4T,IV0UBMM295PGT,"Fellow Pirch Cappuccino Cups 6.5 oz, Set of 2, Weighted Glass - Amber | Handcrafted Espresso Cup Set for Latte Art & Espresso, Dishwasher and Microwave Safe, Curved Interior, Soda Lime Coffee Mugs",39.95,USD,true
2026-08-18,B0FT39RFJB,B0FT39RFJB,I3REJ2Z3EOJ3HD,"CoolGeek M1 Vertical CD Player for Wall & Desk, Transparent Industrial Art Decor, Hi-Fi Bluetooth Transmitter (Requires External Speaker), 8H Rechargeable Battery, Wire-Free Aesthetic",159.00,USD,true
2026-08-18,B0GTB3BMYQ,B0GTB3BMYQ,I1FL364PQOPWUS,"iRobot Roomba 105X Robot Vacuum & Mop Combo, AutoEmpty Dock, Self‑Emptying for Up to 75 Days, 70× Power‑Lifting Suction, Smart LiDAR Mapping, App & Voice Control, Ideal for Homes with Pets & Kids",318.50,USD,true
